Utterance,Intent
"Hi, i want a vacation that starts on june 7th and end on june 15th.",Request a vacation with specific details
I need a vacation from May 31th to June 13th because I must visit my parents,Request a vacation with specific details
Im requesting a vacation from Feb 6th to Feb 10th as my cousin is getting married,Request a vacation with specific details
I want a leave for going on a vacation from 21st February to 28th February.,Request a vacation with specific details
I need vacation for this period because trip with family.,Request a vacation with specific details
"Please make plans for my paid time off vacations starting on january 3 and finishing on january 13, i'm traveling to France",Request a vacation with specific details
"I want to have a vacation, because the Maternity Leave, my doctor told me that I will be in labor at January 10th, so I need 7 days for that.",Request a vacation with specific details
I want a pleasure trip for december 12th for 15 days please for my free time,Request a vacation with specific details
I need an unpaid vacation from January 10th to January 25th for family reason.,Request a vacation with specific details
I want a vacation of 7 days starting on the first of july of the type sick because of sickness reasons.,Request a vacation with specific details
"i need a urgent vacation of 04/25/2020 for 15 days , am sick with flu",Request a vacation with specific details
"I have suffering from fever for 7 days, so I need sick leave for 5 day's starting from 25 th February.",Request a vacation with specific details
I need to take my sick vacations (20 days) to start on june 01st due personal reasons,Request a vacation with specific details
"I want paid time off from july 23 to august 13, cause I need to rest",Request a vacation with specific details
i need to request a paid time off for travel starting from 20/02/202 and it will last 8 days,Request a vacation with specific details
Must go to see my parents.,Request a vacation with specific details
Please make plans for traveling from december 20 until january 2,Request a vacation with specific details
"I need to schedule a long vacation, specificly a month, this is from September 1st to October 1st, to Hawai, and check in at Hilton Hotel.",Request a vacation with specific details
I wish a pleasure holiday from December 15th to December 25th please,Request a vacation with specific details
Requesting a vacation starting on 12 of January and ending 12 of February,Request a vacation with specific details
I want a vacation starting on june 10th and ending on june 15th,Request a vacation with specific details
"hi , am soliciting a vacations of 02/15/2020 to 03/25/2020 , i need rest a little , thanks",Request a vacation with specific details
I need to take my vacations to start on june 01st and end on august 02nd,Request a vacation with specific details
I want my reglamentary vacation time from September 2 to 30 because I go on vacation to Disney with my family,Request a vacation with specific details
Requesting vacations from july 20 to august 15,Request a vacation with specific details
I want to take vacations the day 14/02 to the 5/03,Request a vacation with specific details
i want to request a vacation from 20/02/2020 to 28/02/2020,Request a vacation with specific details
i need a vacation from january to march because i've been working endleesly without proper compensastion. or i quit,Request a vacation with specific details
"I want to request a vacation on may 5th for 10 days, because I have a trip prepared to have time with my family.",Request a vacation with specific details
I want to ask for a 10-day vacation since October 13th because I am sick and have health related problems,Request a vacation with specific details
I need a sick vacation of 10 days from jan 2nd because of the knee surgery,Request a vacation with specific details
I want a sick leave for 10 days from 1st March to visit doctor who lives in another state.,Request a vacation with specific details
i nedd a paid time off vacation from the date 05/05/1993 to 05/05/2022 so i can travel and work in othe country,Request a vacation with specific details
Because of my Europe travel i'm going to need a paid time off vacations from january 1 to january 15,Request a vacation with specific details
"I need a vacation form June 10th to June 30th, because I am sick and I need to be examined in the hospital.",Request a vacation with specific details
I want a paid time off vacation from February 18 to February 28 to go on my wedding trip.,Request a vacation with specific details
I want some pleasure vacations for being sick from February 02th to February 20th,Request a vacation with specific details
"I had been feeling really sick, for that reason I need to request a Sick vacation from March 10th to March 15th.",Request a vacation with specific details
i request my vacation from 01/01/2020 to 02/02/2020 since i have a medical permit for my pregnancy,Request a vacation with specific details
"gimme a sick vacation,i have disease,starting from january 12th till february 10th.",Request a vacation with specific details
I need to take my sick vacations to start on june 04th and end on july 05th due personal reasons,Request a vacation with specific details
I need to go on vacation on may 1th and return on the 30th of the same month,Request a vacation with specific details
"I would need sick leave starting on January 7th till January 10th, because I have flu.",Request a vacation with specific details
"Hello, would like to solicit a paid time off vacation between 18th of July and 25 of July. now that business season is over I need to recharge my battteries.",Request a vacation with specific details
"I want paid time off from july 6 to august 10, cause I need to rest",Request a vacation with specific details
I want my reglamentary vacation time from September 2 to 30 because I go on vacation to Disney with my family,Request a vacation with specific details
Please request Maternity Leave vacation starting on january 14 and ending o march 31 the reason are my wife will soon give birth,Request a vacation with specific details
can you please edit my vacation that was from 20/02/2020 to 28/02/2020 to start from 25/02/2020 and end in 04/03/2020 please,Edit a vacation you have already submitted
i want to change my vacation from january 5 to january 21 to be between january 15 to january 31,Edit a vacation you have already submitted
Change the number of days for my February 20 vacation from 10 days to 15 days.,Edit a vacation you have already submitted
Change the days of the vacation that started on march 10th and went until march 15th to march 20th until march 25th,Edit a vacation you have already submitted
I need to change the number of days in my vacations: 20 to 30. My vacations start on january 03th,Edit a vacation you have already submitted
